帧ID 时间戳 位置x 位置y 长 宽 高
0 1695523798.762974 27.0479 0.792238 1.30276 1.13309 1.19675
1 1695523798.762974 28.4615 8.28053 1.82482 1.66729 1.89742
2 1695523798.762974 30.8341 8.17335 2.13999 1.36639 1.94702
3 1695523799.227063 27.8111 8.23501 5.98797 1.8699 1.95519
4 1695523799.640101 23.8123 7.95989 2.01397 2.00976 1.95534
5 1695523799.640101 25.9962 7.80007 1.81628 1.56141 1.92833
6 1695523800.102289 27.1659 7.70641 4.70712 1.57317 1.95355
7 1695523800.102289 31.4571 8.20691 2.36829 1.98076 1.93647
8 1695523800.102289 -32.7143 -9.32421 1.53506 1.42252 0.822319
9 1695523800.303618 -28.029 -9.41068 1.36497 1.26091 0.39378
10 1695523800.303618 29.6923 7.9243 1.67146 1.07047 1.92406
11 1695523800.303618 -30.0856 -9.28878 1.603 1.40974 0.815632
12 1695523800.303618 -32.2279 -9.49508 2.64778 1.04842 0.865393
13 1695523800.709429 -25.9151 -9.42939 5.2439 1.13755 1.10814
14 1695523800.709429 -31.6456 -9.25807 3.54744 1.46561 0.999346
15 1695523801.111598 31.4526 8.13539 2.445 1.65655 1.88873
16 1695523801.111598 33.5392 8.13512 1.13845 1.08322 1.93984
17 1695523801.111598 -33.2292 -9.15751 1.42898 1.08313 0.890029
18 1695523801.515557 -30.0335 7.69707 8.16812 1.65673 1.43177
19 1695523801.515557 -27.8338 -9.68418 1.21881 1.21843 0.976589
20 1695523801.515557 30.6343 8.11293 5.61116 1.5294 1.92858
21 1695523801.515557 -30.2653 -9.4442 3.12138 1.22036 0.952467
22 1695523801.923974 26.1565 7.79231 4.00654 1.62856 1.95174
23 1695523801.923974 -26.9206 -9.45542 2.11869 1.46929 0.723421
24 1695523801.923974 -31.243 7.50836 5.79305 1.11889 1.0542
25 1695523801.923974 29.824 7.96814 1.70689 1.49464 1.93968
26 1695523802.326321 21.2965 7.48739 1.16707 1.00705 0.879633
27 1695523802.326321 -24.1696 -9.17764 1.66059 1.29733 0.417582
28 1695523802.326321 27.5278 7.92818 1.57313 1.02447 1.90957
29 1695523802.326321 32.7522 8.20843 2.39239 1.02406 1.94712
30 1695523802.536992 23.3104 7.80406 2.46388 1.5489 1.84171
31 1695523802.536992 -23.8583 -9.06873 1.84224 1.51804 0.482341
32 1695523802.536992 26.9679 7.7984 3.27878 1.48334 1.95579
33 1695523802.536992 31.3169 7.99069 1.68229 1.60977 1.89355
34 1695523802.939379 21.0299 7.57047 2.42731 1.62856 1.95487
35 1695523802.939379 24.2115 7.65019 1.70004 1.34652 1.75448
36 1695523802.939379 -26.5817 -9.07601 1.32961 1.0009 0.439988
37 1695523803.344919 -20.1526 -9.17377 9.25242 1.6505 1.05336
38 1695523803.344919 18.2133 7.57497 2.52679 1.78294 1.96088
39 1695523803.344919 21.2026 7.62022 1.81114 1.7475 1.94098
40 1695523803.344919 27.3547 8.17351 4.44691 1.05355 1.87106
41 1695523803.751638 -20.3307 -9.18248 6.44392 1.6347 0.989994
42 1695523803.751638 25.5708 8.23993 4.50037 1.16837 1.80616
43 1695523803.751638 -24.9782 -9.28129 1.45981 1.39242 0.734521
44 1695523803.751638 -27.0919 -9.24545 2.23267 1.54581 0.476263
45 1695523803.751638 -30.9991 -9.40494 1.68347 1.13246 0.396772
46 1695523803.751638 32.6124 8.73479 2.42055 1.77181 1.57737
47 1695523804.157189 22.6816 8.11811 4.53111 1.25769 1.93385
48 1695523804.157189 25.9674 8.60882 1.64198 1.03415 0.575185
49 1695523804.157189 29.9864 8.79833 3.34139 1.63494 1.93547
50 1695523804.559244 24.0777 8.36915 2.70112 1.22797 0.974798
51 1695523804.559244 27.6862 8.87805 3.39366 1.8685 1.9053
52 1695523804.559244 -31.9233 -7.9231 4.55631 1.3553 1.18878
53 1695523804.961944 15.4156 7.87416 9.2249 1.70144 1.97685
54 1695523804.961944 -21.1142 -9.28986 1.83863 1.31039 0.456109
55 1695523804.961944 -22.7741 -9.114 1.67959 1.38211 0.195646
56 1695523804.961944 25.3911 8.75859 3.47133 1.9343 1.95047
57 1695523805.368515 -22.9814 -9.13317 8.75501 1.69153 1.08389
58 1695523805.368515 22.8868 8.53258 3.31283 2.46394 1.95485
59 1695523805.368515 27.3885 8.93505 1.08464 1.05334 0.877477
60 1695523805.368515 30.6965 9.4974 2.16307 1.06323 1.65345
61 1695523805.772730 25.0774 8.61246 1.20513 1.13807 0.946936
62 1695523805.772730 28.6221 9.13721 2.73738 1.0384 1.74571
63 1695523806.237830 22.6389 8.14536 3.11824 1.73006 1.19194
64 1695523806.237830 26.4467 8.72219 3.0244 1.28249 1.94128
65 1695523806.237830 30.7966 9.0126 1.45419 1.37015 0.89327
66 1695523806.237830 33.1995 9.26535 1.56713 1.05908 1.93228
67 1695523806.440509 21.7885 8.07985 4.35602 1.68777 1.26641
68 1695523806.440509 27.0098 8.53166 6.50187 1.68597 1.95969
69 1695523806.440509 32.6331 8.965 2.41818 2.01246 1.8854
70 1695523806.841858 30.7317 8.68379 3.23302 2.19059 1.94833
71 1695523806.841858 -29.634 -8.22112 1.52517 1.3379 0.956731
72 1695523806.841858 -32.2714 -8.07823 3.25484 1.3376 0.903481
73 1695523807.46129 29.1571 8.18084 3.41032 1.89641 1.9467
74 1695523807.46129 32.5618 8.41282 3.22116 2.0452 1.86973
75 1695523807.451519 26.7171 7.8061 3.90553 1.74341 1.90499
76 1695523807.451519 29.2981 7.91018 2.1462 1.44084 1.92791
77 1695523807.451519 31.2622 7.80966 1.49992 1.10044 1.10218
78 1695523807.856670 27.5645 7.8256 3.14521 2.04396 1.95434
79 1695523807.856670 31.4771 7.89075 1.39527 1.25583 1.94904
80 1695523807.856670 32.9806 8.02204 1.95847 1.70212 1.92076
81 1695523808.260628 -27.4739 -7.68604 6.70933 1.74566 1.0737
82 1695523808.260628 29.0801 7.73308 2.50345 1.42846 1.91186
83 1695523808.260628 31.5396 -5.05026 3.23139 1.27645 1.92721
84 1695523808.260628 32.3125 8.0535 3.5542 1.65006 1.94013
85 1695523808.260628 -31.9244 -7.65592 1.71153 1.26733 0.975923
86 1695523808.663060 27.7224 7.58608 6.07678 1.52014 1.94358
87 1695523808.663060 -29.9346 -7.61648 5.48694 1.53197 0.935642
88 1695523809.77630 29.0024 7.67151 1.14008 1.05986 0.784923
89 1695523809.77630 31.3545 7.75944 1.33573 1.12806 1.82214
90 1695523809.77630 -31.5428 -7.31571 1.69849 1.44048 0.451609
91 1695523809.77630 33.4479 7.77864 1.34426 1.31811 1.93944
92 1695523809.483283 23.2803 7.26643 4.39872 1.64221 1.95961
93 1695523809.483283 27.1002 7.53684 1.10809 1.03438 0.821688
94 1695523809.483283 30.6492 7.65407 3.90189 1.27575 1.94203
95 1695523809.483283 -30.7732 -7.63493 2.14084 1.32279 0.698483
96 1695523809.687374 22.2446 7.06177 6.45293 1.6814 1.96455
97 1695523809.687374 27.3888 7.36299 1.5514 1.06114 1.85797
98 1695523809.687374 -27.1292 -7.824 1.46358 1.28276 0.648514
99 1695523809.687374 -29.2546 -7.61532 1.44394 1.42742 0.465519
100 1695523809.687374 29.8151 7.42306 1.95104 1.30386 1.94781
101 1695523809.687374 -33.209 -7.46439 1.49984 1.447 0.466968
102 1695523809.888308 24.4826 7.32379 1.37656 1.10629 0.849079
103 1695523809.888308 26.8647 7.42262 1.87225 1.25631 1.91705
104 1695523809.888308 28.9746 7.46284 1.4648 1.25326 1.94239
105 1695523810.90159 25.8934 7.31511 3.62549 1.50065 1.9369
106 1695523810.90159 -25.5136 -7.74786 3.54151 1.6171 0.743885
107 1695523810.90159 -28.5241 -7.81361 1.33191 1.04309 0.41853
108 1695523810.493207 24.1148 7.02664 5.6975 1.53636 1.92101
109 1695523810.493207 -30.0182 -7.48066 1.60914 1.43516 0.65646
110 1695523810.493207 31.2311 7.55127 1.91622 1.29258 1.03842
111 1695523810.493207 33.4748 7.59135 1.59992 1.06808 1.89245
112 1695523810.943958 21.5788 6.87501 2.35354 1.55496 1.95213
113 1695523810.943958 29.7868 7.39638 4.05346 1.57069 1.84055
