帧ID 时间戳 目标ID 距离 角度 速度
0 1695523796.985188 5 65.9 1.8 -5.15
1 1695523796.985188 6 139.7 -5.6 -5.2
2 1695523796.985188 9 118 -3.5 -5.23
3 1695523796.985188 12 21.9 -0.2 1.58
4 1695523796.985188 13 48 3.7 -5.2
5 1695523796.985188 14 94.1 -2.4 -5.13
6 1695523796.985188 16 9.9 -48.9 -3.98
7 1695523796.985188 17 73.2 6.9 -5.07
8 1695523796.985188 18 31.9 -14.6 -5.11
9 1695523796.985188 20 171.4 -2 -5.2
10 1695523796.985188 22 76.8 -2.8 -5.12
11 1695523796.985188 29 83.5 1.1 -5.16
12 1695523796.985188 30 55.9 -8.7 1.23
13 1695523796.985188 31 167.7 -7.3 -5.12
14 1695523796.985188 33 90.1 -4.2 -5.22
15 1695523796.985188 34 107.9 -3.4 -5.24
16 1695523796.985188 40 15.8 -27.9 -4.81
17 1695523796.985188 41 126.9 -5.5 -5.15
18 1695523796.985188 43 46.2 1.1 10.66
19 1695523796.985188 46 13.6 31.4 -4.41
20 1695523796.985188 48 59.6 16 0.98
21 1695523796.985188 49 52.9 -10.9 -5.09
22 1695523796.985188 50 28.2 12.8 -5.11
23 1695523796.985188 53 31.9 -14.9 -5.07
24 1695523796.985188 54 22.8 -20.2 -4.95
25 1695523796.985188 55 72.1 -0.9 -5.26
26 1695523796.985188 57 47.9 -11.1 -5.16
27 1695523796.985188 61 83.6 5.3 -5.27
28 1695523796.985188 62 76.8 2.5 -5.21
29 1695523796.985188 63 37.7 8 -5.23
30 1695523797.138164 0 39.1 -12.9 -5.16
31 1695523797.138164 2 52.1 -10.4 -76.05
32 1695523797.138164 4 52.8 9.9 -5.2
33 1695523797.138164 5 65 1.3 -5.12
34 1695523797.138164 6 138.6 -5.6 -5.21
35 1695523797.138164 8 70.4 4.8 -5.25
36 1695523797.138164 12 22.1 -0.5 1.58
37 1695523797.138164 13 46.9 4 -5.2
38 1695523797.138164 14 92.4 -2.9 -5.15
39 1695523797.138164 16 9.1 -51.2 -3.78
40 1695523797.138164 17 71.9 7.3 -5.08
41 1695523797.138164 19 20.5 19.1 -4.98
42 1695523797.138164 22 75.8 -2.9 -5.07
43 1695523797.138164 29 82.5 0.5 -5.14
44 1695523797.138164 30 56.1 -8.9 1.24
45 1695523797.138164 31 166.8 -7.6 -5.11
46 1695523797.138164 32 121.1 -5.2 -5.27
47 1695523797.138164 34 106.5 -3.2 -5.24
48 1695523797.138164 35 36.7 8.2 -5.16
49 1695523797.138164 39 42 -12.5 -5.16
50 1695523797.138164 40 14.4 -31.7 -4.73
51 1695523797.138164 41 126 -5.6 -5.12
52 1695523797.138164 43 48.3 -0.6 10.5
53 1695523797.138164 44 65.9 7.3 -5.23
54 1695523797.138164 46 12.5 35.7 -4.27
55 1695523797.138164 49 51.7 -11 -5.04
56 1695523797.138164 50 27.2 12.8 -5.1
